trade_num,entry_time,exit_time,exit_reason,applied_sl_pts,actual_pnl,simulated_pnl,savings,regression_active
2018,2025-10-31 09:54:10,2025-10-31 09:55:23,Trailing Stop,5.0,1215.27,1215.27,0.0,True
2019,2025-10-31 09:58:53,2025-10-31 10:00:52,Stop Loss,5.0,-4901.94,-1633.9799999999998,3267.96,True
2020,2025-10-31 09:58:53,2025-10-31 10:00:52,Stop Loss,5.0,-4901.94,-1633.9799999999998,3267.96,True
2021,2025-10-31 09:58:53,2025-10-31 10:00:52,Stop Loss,5.0,-4901.94,-1633.9799999999998,3267.96,True
2022,2025-10-31 09:50:15,2025-10-31 10:03:35,Take Profit 1,5.0,1535.22,1535.22,0.0,True
2023,2025-10-31 09:50:15,2025-10-31 10:03:35,Take Profit 1,15.0,1535.22,1535.22,0.0,False
2024,2025-10-31 09:50:15,2025-10-31 10:03:35,Take Profit 1,15.0,1535.22,1535.22,0.0,False
2025,2025-10-31 09:50:15,2025-10-31 10:04:33,Take Profit 2,15.0,2905.29,2905.29,0.0,False
2026,2025-10-31 09:50:15,2025-10-31 10:04:33,Take Profit 2,15.0,2905.29,2905.29,0.0,False
2027,2025-10-31 09:50:15,2025-10-31 10:04:33,Take Profit 2,15.0,2905.29,2905.29,0.0,False
2028,2025-10-31 09:50:15,2025-10-31 10:05:01,Take Profit 3,15.0,2349.1,2349.1,0.0,False
2029,2025-10-31 09:50:15,2025-10-31 10:05:01,Take Profit 3,15.0,2349.1,2349.1,0.0,False
2030,2025-10-31 09:50:15,2025-10-31 10:05:01,Take Profit 3,15.0,2349.1,2349.1,0.0,False
2031,2025-10-31 09:50:15,2025-10-31 10:05:35,Take Profit 4,15.0,2581.45,2581.45,0.0,False
2032,2025-10-31 09:50:15,2025-10-31 10:05:35,Take Profit 4,15.0,2581.45,2581.45,0.0,False
2033,2025-10-31 09:50:15,2025-10-31 10:05:35,Take Profit 4,15.0,2581.45,2581.45,0.0,False
2034,2025-10-31 10:05:55,2025-10-31 10:07:00,Take Profit 1,15.0,1607.01,1607.01,0.0,False
2035,2025-10-31 10:05:55,2025-10-31 10:07:00,Take Profit 1,15.0,1607.01,1607.01,0.0,False
2036,2025-10-31 10:05:55,2025-10-31 10:07:00,Take Profit 1,15.0,1607.01,1607.01,0.0,False
2037,2025-10-31 10:06:18,2025-10-31 10:07:57,Stop Loss,15.0,-4640.16,-4640.16,0.0,False
2038,2025-10-31 10:06:18,2025-10-31 10:07:57,Stop Loss,10.0,-4640.16,-3093.4399999999996,1546.7200000000003,True
2039,2025-10-31 10:06:18,2025-10-31 10:07:57,Stop Loss,5.0,-4640.16,-1546.7199999999998,3093.44,True
2040,2025-10-31 10:05:55,2025-10-31 10:08:20,Take Profit 2,5.0,2723.04,2723.04,0.0,True
2041,2025-10-31 10:05:55,2025-10-31 10:08:20,Take Profit 2,15.0,2723.04,2723.04,0.0,False
2042,2025-10-31 10:05:55,2025-10-31 10:08:20,Take Profit 2,15.0,2723.04,2723.04,0.0,False
2043,2025-10-31 10:05:55,2025-10-31 10:08:27,Take Profit 3,15.0,2295.05,2295.05,0.0,False
2044,2025-10-31 10:05:55,2025-10-31 10:08:27,Take Profit 3,15.0,2295.05,2295.05,0.0,False
2045,2025-10-31 10:05:55,2025-10-31 10:08:27,Take Profit 3,15.0,2295.05,2295.05,0.0,False
2046,2025-10-31 10:05:55,2025-10-31 10:08:30,Take Profit 4,15.0,1327.41,1327.41,0.0,False
2047,2025-10-31 10:05:55,2025-10-31 10:08:30,Take Profit 4,15.0,1327.41,1327.41,0.0,False
2048,2025-10-31 10:05:55,2025-10-31 10:08:30,Take Profit 4,15.0,1327.41,1327.41,0.0,False
2049,2025-10-31 10:09:09,2025-10-31 10:15:52,Take Profit 1,15.0,1708.38,1708.38,0.0,False
2050,2025-10-31 10:09:09,2025-10-31 10:15:52,Take Profit 1,15.0,1708.38,1708.38,0.0,False
2051,2025-10-31 10:09:09,2025-10-31 10:15:52,Take Profit 1,15.0,1708.38,1708.38,0.0,False
2052,2025-10-31 10:09:09,2025-10-31 10:17:20,Trailing Stop,15.0,673.78,673.78,0.0,False
2053,2025-10-31 10:09:09,2025-10-31 10:17:20,Trailing Stop,10.0,673.78,673.78,0.0,True
2054,2025-10-31 10:09:09,2025-10-31 10:17:20,Trailing Stop,5.0,673.78,673.78,0.0,True
2055,2025-10-31 10:16:49,2025-10-31 10:19:42,Take Profit 1,5.0,363.16,363.16,0.0,True
2056,2025-10-31 10:16:49,2025-10-31 10:19:42,Take Profit 1,15.0,363.16,363.16,0.0,False
2057,2025-10-31 10:16:49,2025-10-31 10:19:42,Take Profit 1,15.0,363.16,363.16,0.0,False
2058,2025-10-31 10:16:49,2025-10-31 10:20:02,Trailing Stop,15.0,167.56,167.56,0.0,False
2059,2025-10-31 10:16:49,2025-10-31 10:20:02,Trailing Stop,10.0,167.56,167.56,0.0,True
2060,2025-10-31 10:16:49,2025-10-31 10:20:02,Trailing Stop,5.0,167.56,167.56,0.0,True
2061,2025-10-31 10:18:25,2025-10-31 10:21:07,Take Profit 1,5.0,1257.77,1257.77,0.0,True
2062,2025-10-31 10:18:25,2025-10-31 10:21:07,Take Profit 1,15.0,1257.77,1257.77,0.0,False
2063,2025-10-31 10:18:25,2025-10-31 10:21:07,Take Profit 1,15.0,1257.77,1257.77,0.0,False
2064,2025-10-31 10:18:25,2025-10-31 10:22:45,Trailing Stop,15.0,1796.0,1796.0,0.0,False
2065,2025-10-31 10:18:25,2025-10-31 10:22:45,Trailing Stop,10.0,1796.0,1796.0,0.0,True
2066,2025-10-31 10:18:25,2025-10-31 10:22:45,Trailing Stop,5.0,1796.0,1796.0,0.0,True
2067,2025-10-31 10:23:11,2025-10-31 10:26:01,Take Profit 1,5.0,1773.44,1773.44,0.0,True
2068,2025-10-31 10:23:11,2025-10-31 10:26:01,Take Profit 1,15.0,1773.44,1773.44,0.0,False
2069,2025-10-31 10:23:11,2025-10-31 10:26:01,Take Profit 1,15.0,1773.44,1773.44,0.0,False
2070,2025-10-31 10:23:11,2025-10-31 10:26:59,Trailing Stop,15.0,1320.81,1320.81,0.0,False
2071,2025-10-31 10:23:11,2025-10-31 10:26:59,Trailing Stop,10.0,1320.81,1320.81,0.0,True
2072,2025-10-31 10:23:11,2025-10-31 10:26:59,Trailing Stop,5.0,1320.81,1320.81,0.0,True
2073,2025-10-31 10:24:47,2025-10-31 10:28:53,Take Profit 1,5.0,765.46,765.46,0.0,True
2074,2025-10-31 10:24:47,2025-10-31 10:28:53,Take Profit 1,15.0,765.46,765.46,0.0,False
2075,2025-10-31 10:24:47,2025-10-31 10:28:53,Take Profit 1,15.0,765.46,765.46,0.0,False
2076,2025-10-31 10:24:47,2025-10-31 10:29:56,Trailing Stop,15.0,23.91,23.91,0.0,False
2077,2025-10-31 10:24:47,2025-10-31 10:29:56,Trailing Stop,10.0,23.91,23.91,0.0,True
2078,2025-10-31 10:24:47,2025-10-31 10:29:56,Trailing Stop,5.0,23.91,23.91,0.0,True
2079,2025-10-31 10:31:02,2025-10-31 10:31:17,Take Profit 1,5.0,1154.06,1154.06,0.0,True
2080,2025-10-31 10:31:02,2025-10-31 10:31:17,Take Profit 1,15.0,1154.06,1154.06,0.0,False
2081,2025-10-31 10:31:02,2025-10-31 10:31:17,Take Profit 1,15.0,1154.06,1154.06,0.0,False
2082,2025-10-31 10:31:02,2025-10-31 10:31:57,Take Profit 2,15.0,2418.32,2418.32,0.0,False
2083,2025-10-31 10:31:02,2025-10-31 10:31:57,Take Profit 3,15.0,1209.16,1209.16,0.0,False
2084,2025-10-31 10:31:02,2025-10-31 10:31:57,Take Profit 2,15.0,2418.32,2418.32,0.0,False
2085,2025-10-31 10:31:02,2025-10-31 10:31:57,Take Profit 2,15.0,2418.32,2418.32,0.0,False
2086,2025-10-31 10:31:02,2025-10-31 10:31:57,Take Profit 3,15.0,1209.16,1209.16,0.0,False
2087,2025-10-31 10:31:02,2025-10-31 10:31:57,Take Profit 3,15.0,1209.16,1209.16,0.0,False
2088,2025-10-31 10:31:02,2025-10-31 10:31:58,Take Profit 4,15.0,3908.55,3908.55,0.0,False
2089,2025-10-31 10:31:02,2025-10-31 10:31:58,Take Profit 4,15.0,3908.55,3908.55,0.0,False
2090,2025-10-31 10:31:02,2025-10-31 10:31:58,Take Profit 4,15.0,3908.55,3908.55,0.0,False
2091,2025-10-31 10:32:03,2025-10-31 10:36:58,Take Profit 1,15.0,1275.16,1275.16,0.0,False
2092,2025-10-31 10:32:03,2025-10-31 10:36:58,Take Profit 1,15.0,1275.16,1275.16,0.0,False
2093,2025-10-31 10:32:03,2025-10-31 10:36:58,Take Profit 1,15.0,1275.16,1275.16,0.0,False
2094,2025-10-31 10:33:57,2025-10-31 10:37:33,Stop Loss,15.0,-5989.1,-5989.1,0.0,False
2095,2025-10-31 10:33:57,2025-10-31 10:37:33,Stop Loss,10.0,-5989.1,-3992.7333333333336,1996.3666666666668,True
2096,2025-10-31 10:33:57,2025-10-31 10:37:33,Stop Loss,5.0,-5989.1,-1996.3666666666668,3992.7333333333336,True
2097,2025-10-31 10:32:03,2025-10-31 10:37:34,Take Profit 2,5.0,2341.65,2341.65,0.0,True
2098,2025-10-31 10:32:03,2025-10-31 10:37:34,Take Profit 3,15.0,1170.83,1170.83,0.0,False
2099,2025-10-31 10:32:03,2025-10-31 10:37:34,Take Profit 2,15.0,2341.65,2341.65,0.0,False
2100,2025-10-31 10:32:03,2025-10-31 10:37:34,Take Profit 2,15.0,2341.65,2341.65,0.0,False
2101,2025-10-31 10:32:03,2025-10-31 10:37:34,Take Profit 3,15.0,1170.83,1170.83,0.0,False
2102,2025-10-31 10:32:03,2025-10-31 10:37:34,Take Profit 3,15.0,1170.83,1170.83,0.0,False
2103,2025-10-31 10:32:03,2025-10-31 10:37:44,Trailing Stop,15.0,2343.23,2343.23,0.0,False
2104,2025-10-31 10:32:03,2025-10-31 10:37:44,Trailing Stop,10.0,2343.23,2343.23,0.0,True
2105,2025-10-31 10:32:03,2025-10-31 10:37:44,Trailing Stop,5.0,2343.23,2343.23,0.0,True
2106,2025-10-31 10:40:39,2025-10-31 10:42:33,Stop Loss,5.0,-9136.79,-3045.596666666667,6091.1933333333345,True
2107,2025-10-31 10:40:39,2025-10-31 10:42:33,Stop Loss,5.0,-9136.79,-3045.596666666667,6091.1933333333345,True
2108,2025-10-31 10:40:39,2025-10-31 10:42:33,Stop Loss,5.0,-9136.79,-3045.596666666667,6091.1933333333345,True
2109,2025-10-31 10:39:23,2025-10-31 10:42:34,Take Profit 1,5.0,753.16,753.16,0.0,True
2110,2025-10-31 10:39:23,2025-10-31 10:42:34,Take Profit 1,15.0,753.16,753.16,0.0,False
2111,2025-10-31 10:39:23,2025-10-31 10:42:34,Take Profit 1,15.0,753.16,753.16,0.0,False
2112,2025-10-31 10:39:23,2025-10-31 10:45:30,Take Profit 2,15.0,964.96,964.96,0.0,False
2113,2025-10-31 10:39:23,2025-10-31 10:45:30,Take Profit 2,15.0,964.96,964.96,0.0,False
2114,2025-10-31 10:39:23,2025-10-31 10:45:30,Take Profit 2,15.0,964.96,964.96,0.0,False
2115,2025-10-31 10:39:23,2025-10-31 10:47:00,Trailing Stop,15.0,1450.22,1450.22,0.0,False
2116,2025-10-31 10:39:23,2025-10-31 10:47:00,Trailing Stop,10.0,1450.22,1450.22,0.0,True
2117,2025-10-31 10:39:23,2025-10-31 10:47:00,Trailing Stop,5.0,1450.22,1450.22,0.0,True
2118,2025-10-31 10:46:57,2025-10-31 10:50:17,Take Profit 1,5.0,1096.51,1096.51,0.0,True
2119,2025-10-31 10:46:57,2025-10-31 10:50:17,Take Profit 1,15.0,1096.51,1096.51,0.0,False
2120,2025-10-31 10:46:57,2025-10-31 10:50:17,Take Profit 1,15.0,1096.51,1096.51,0.0,False
2121,2025-10-31 10:46:57,2025-10-31 10:50:33,Trailing Stop,15.0,-280.39,-280.39,0.0,False
2122,2025-10-31 10:46:57,2025-10-31 10:50:33,Trailing Stop,10.0,-280.39,-186.92666666666665,93.46333333333334,True
2123,2025-10-31 10:46:57,2025-10-31 10:50:33,Trailing Stop,5.0,-280.39,-93.46333333333332,186.92666666666668,True
2124,2025-10-31 10:50:55,2025-10-31 10:53:17,Take Profit 1,5.0,1309.75,1309.75,0.0,True
2125,2025-10-31 10:50:55,2025-10-31 10:53:17,Take Profit 1,15.0,1309.75,1309.75,0.0,False
2126,2025-10-31 10:50:55,2025-10-31 10:53:17,Take Profit 1,15.0,1309.75,1309.75,0.0,False
2127,2025-10-31 10:48:39,2025-10-31 10:55:25,Stop Loss,15.0,-5746.98,-5746.98,0.0,False
2128,2025-10-31 10:48:39,2025-10-31 10:55:25,Stop Loss,10.0,-5746.98,-3831.3199999999997,1915.6599999999999,True
2129,2025-10-31 10:48:39,2025-10-31 10:55:25,Stop Loss,5.0,-5746.98,-1915.6599999999999,3831.3199999999997,True
2130,2025-10-31 10:50:55,2025-10-31 10:56:10,Trailing Stop,5.0,2349.67,2349.67,0.0,True
2131,2025-10-31 10:50:55,2025-10-31 10:56:10,Trailing Stop,5.0,2349.67,2349.67,0.0,True
2132,2025-10-31 10:50:55,2025-10-31 10:56:10,Trailing Stop,5.0,2349.67,2349.67,0.0,True
2133,2025-10-31 10:57:41,2025-10-31 10:57:56,Take Profit 1,5.0,1106.11,1106.11,0.0,True
2134,2025-10-31 10:57:41,2025-10-31 10:57:56,Take Profit 1,15.0,1106.11,1106.11,0.0,False
2135,2025-10-31 10:57:41,2025-10-31 10:57:56,Take Profit 1,15.0,1106.11,1106.11,0.0,False
2136,2025-10-31 10:56:48,2025-10-31 11:00:26,Stop Loss,15.0,-6307.1,-6307.1,0.0,False
2137,2025-10-31 10:56:48,2025-10-31 11:00:26,Stop Loss,10.0,-6307.1,-4204.733333333334,2102.366666666667,True
2138,2025-10-31 10:56:48,2025-10-31 11:00:26,Stop Loss,5.0,-6307.1,-2102.366666666667,4204.733333333334,True
2139,2025-10-31 10:57:41,2025-10-31 11:00:32,Take Profit 2,5.0,1846.7,1846.7,0.0,True
2140,2025-10-31 10:57:41,2025-10-31 11:00:32,Take Profit 2,15.0,1846.7,1846.7,0.0,False
2141,2025-10-31 10:57:41,2025-10-31 11:00:32,Take Profit 2,15.0,1846.7,1846.7,0.0,False
2142,2025-10-31 10:57:41,2025-10-31 11:00:42,Take Profit 3,15.0,1151.95,1151.95,0.0,False
2143,2025-10-31 10:57:41,2025-10-31 11:00:42,Take Profit 3,15.0,1151.95,1151.95,0.0,False
2144,2025-10-31 10:57:41,2025-10-31 11:00:42,Take Profit 3,15.0,1151.95,1151.95,0.0,False
2145,2025-10-31 10:57:41,2025-10-31 11:00:44,Take Profit 4,15.0,3894.33,3894.33,0.0,False
2146,2025-10-31 10:57:41,2025-10-31 11:00:44,Take Profit 4,15.0,3894.33,3894.33,0.0,False
2147,2025-10-31 10:57:41,2025-10-31 11:00:44,Take Profit 4,15.0,3894.33,3894.33,0.0,False
2148,2025-10-31 11:00:45,2025-10-31 11:01:09,Take Profit 1,15.0,1125.68,1125.68,0.0,False
2149,2025-10-31 11:00:45,2025-10-31 11:01:09,Take Profit 1,15.0,1125.68,1125.68,0.0,False
2150,2025-10-31 11:00:45,2025-10-31 11:01:09,Take Profit 1,15.0,1125.68,1125.68,0.0,False
2151,2025-10-31 11:00:45,2025-10-31 11:02:01,Take Profit 2,15.0,1807.27,1807.27,0.0,False
2152,2025-10-31 11:00:45,2025-10-31 11:02:01,Take Profit 2,15.0,1807.27,1807.27,0.0,False
2153,2025-10-31 11:00:45,2025-10-31 11:02:01,Take Profit 2,15.0,1807.27,1807.27,0.0,False
2154,2025-10-31 11:00:45,2025-10-31 11:02:27,Trailing Stop,15.0,1260.59,1260.59,0.0,False
2155,2025-10-31 11:00:45,2025-10-31 11:02:27,Trailing Stop,10.0,1260.59,1260.59,0.0,True
2156,2025-10-31 11:00:45,2025-10-31 11:02:27,Trailing Stop,5.0,1260.59,1260.59,0.0,True
2157,2025-10-31 11:03:41,2025-10-31 11:12:07,Take Profit 1,5.0,1315.44,1315.44,0.0,True
2158,2025-10-31 11:03:41,2025-10-31 11:12:07,Take Profit 1,15.0,1315.44,1315.44,0.0,False
2159,2025-10-31 11:03:41,2025-10-31 11:12:07,Take Profit 1,15.0,1315.44,1315.44,0.0,False
2160,2025-10-31 11:03:41,2025-10-31 11:12:22,Trailing Stop,15.0,1574.04,1574.04,0.0,False
2161,2025-10-31 11:03:41,2025-10-31 11:12:22,Trailing Stop,10.0,1574.04,1574.04,0.0,True
2162,2025-10-31 11:03:41,2025-10-31 11:12:22,Trailing Stop,5.0,1574.04,1574.04,0.0,True
2163,2025-10-31 11:12:30,2025-10-31 11:13:25,Stop Loss,5.0,-9087.2,-3029.0666666666666,6058.133333333334,True
